id,title,body,text
265,"Search synonyms not saved","Admin synonyms input not persisted","Search synonyms not saved Admin synonyms input not persisted"
266,"Pagination buttons disabled incorrectly","Next button disabled despite more pages","Pagination buttons disabled incorrectly Next button disabled despite more pages"
267,"Crash on deprecated API call","Calling removed API endpoint causes crash","Crash on deprecated API call Calling removed API endpoint causes crash"
268,"Search suggestions reorder unpredictably","Suggestion order changes as you type","Search suggestions reorder unpredictably Suggestion order changes as you type"
269,"File attachments exceed quota not shown","User not warned when attachments exceed storage quota","File attachments exceed quota not shown User not warned when attachments exceed storage quota"
270,"Crash when renaming folder","Renaming nested folder crashes background service","Crash when renaming folder Renaming nested folder crashes background service"
271,"Search query analyzer strips accents","Accent characters removed causing mismatches","Search query analyzer strips accents Accent characters removed causing mismatches"
272,"Export Excel formulas broken","Formulas lost when exporting to XLSX","Export Excel formulas broken Formulas lost when exporting to XLSX"
273,"Crash on high DPI scaling","UI crashes when scaling to >200% on Windows","Crash on high DPI scaling UI crashes when scaling to >200% on Windows"
274,"Search results missing highlights","Highlighted terms missing from snippets","Search results missing highlights Highlighted terms missing from snippets"
275,"Upload resume not working","Interrupted uploads cannot be resumed","Upload resume not working Interrupted uploads cannot be resumed"
276,"Crash when toggling offline mode","Switching network mode causes crash on Linux","Crash when toggling offline mode Switching network mode causes crash on Linux"
277,"Search index ignores punctuation","Punctuation removal breaks phrase searches","Search index ignores punctuation Punctuation removal breaks phrase searches"
278,"Export manifest incorrect","Manifest file lists wrong asset paths","Export manifest incorrect Manifest file lists wrong asset paths"
279,"Crash on certificate rotation","Rotating TLS certificates causes servers to crash","Crash on certificate rotation Rotating TLS certificates causes servers to crash"
280,"Search query suggestions stale after index","Suggestions not refreshed after reindex","Search query suggestions stale after index Suggestions not refreshed after reindex"
281,"File preview fails for SVG with scripts","SVG previews blocked causing blank render","File preview fails for SVG with scripts SVG previews blocked causing blank render"
282,"Crash on large undo redo","Rapid undo/redo cycles crash the editor","Crash on large undo redo Rapid undo/redo cycles crash the editor"
283,"Search cluster split causes errors","Cluster split leaves index shards missing","Search cluster split causes errors Cluster split leaves index shards missing"
284,"Export filename encoding wrong","Filenames encoded incorrectly for non-ascii chars","Export filename encoding wrong Filenames encoded incorrectly for non-ascii chars"
285,"Crash when enabling dark mode on Linux","Toggling dark theme crashes on certain distros","Crash when enabling dark mode on Linux Toggling dark theme crashes on certain distros"
286,"Search synonyms deletion fails","Removing synonyms leaves stale mappings","Search synonyms deletion fails Removing synonyms leaves stale mappings"
287,"Attachment preview not secure","Preview serves files over HTTP on HTTPS sites","Attachment preview not secure Preview serves files over HTTP on HTTPS sites"
288,"Crash on database compaction","Compaction routine causes crash under heavy load","Crash on database compaction Compaction routine causes crash under heavy load"
289,"Search API returns inconsistent ids","Result IDs do not match stored objects","Search API returns inconsistent ids Result IDs do not match stored objects"
290,"Export archive missing license","Zip export excludes license file in some projects","Export archive missing license Zip export excludes license file in some projects"
291,"Crash when enabling GPU acceleration","Turning on GPU accel crashes on startup","Crash when enabling GPU acceleration Turning on GPU accel crashes on startup"
292,"Search suggestions prioritized wrong","Less relevant items shown above more relevant ones","Search suggestions prioritized wrong Less relevant items shown above more relevant ones"
293,"File diff highlights incorrect lines","Diff view misaligns changed lines for certain encodings","File diff highlights incorrect lines Diff view misaligns changed lines for certain encodings"
294,"Crash when importing malformed CSV","Malformed CSV import leads to crash instead of error","Crash when importing malformed CSV Malformed CSV import leads to crash instead of error"
295,"Search query parallelization bug","Parallel queries return overlapping duplicate results","Search query parallelization bug Parallel queries return overlapping duplicate results"
296,"Export to cloud fails silently","Cloud export reports success but upload missing","Export to cloud fails silently Cloud export reports success but upload missing"
297,"Crash on invalid keyboard layout","Switching keyboard layout crashes input handler","Crash on invalid keyboard layout Switching keyboard layout crashes input handler"
298,"Search suggestions block input","Heavy suggestion rendering blocks keystrokes","Search suggestions block input Heavy suggestion rendering blocks keystrokes"
299,"Export localization missing","Exported files missing localized strings for fr locale","Export localization missing Exported files missing localized strings for fr locale"
